ID	種別番号	配置座標X	配置座標Y	配置座標Z	移動方向	ステージ種別
1	0	150.0f	-100.0f	500.0f	0	1
2	0	-100.0f	-100.0f	750.0f	0	1
3	0	1000.0f	-100.0f	1000.0f	0	1
4	1	700.0f	-25.0f	600.0f	0	1
5	1	1780.0f	-25.0f	600.0f	1	1
6	1	1000.0f	-25.0f	1600.0f	1	1
7	1	-60.0f	-25.0f	1600.0f	0	1
8	1	-660.0f	-25.0f	1600.0f	2	1
9	1	1500.0f	-25.0f	5000.0f	1	1
10	1	500.0f	-25.0f	2500.0f	0	1
11	1	1600.0f	-25.0f	2500.0f	1	1
12	1	1550.0f	-25.0f	3000.0f	2	1
13	1	1550.0f	-25.0f	4000.0f	3	1
14	1	850.0f	-25.0f	 4000.0f	1	1
15	1	-200.0f	-25.0f	4000.0f	0	1
16	1	-200.0f	-25.0f	4600.0f	3	1
17	1	4210.0f	-25.0f	-1390.0f	1	1
18	1	360.0f	-25.0f	5000.0f	0	1
19	1	1200.0f	-25.0f	6000.0f	3	1
20	2	8500.0f	100.0f	-2700.0f	0	1
21	2	8500.0f	100.0f	-1200.0f	0	1
22	2	8500.0f	100.0f	350.0f	0	1
23	2	28600.0f	100.0f	-3750.0f	0	1
24	2	30000.0f	100.0f	-1800.0f	0	1
25	2	30000.0f	100.0f	-6000.0f	0	1
26	3	9800.0f	300.0f	-1200.0f	0	1
27	4	0.0f	0.0f	0.0f	0	1
28	5	0.0f	0.0f	0.0f	0	1
29	6	0.0f	0.0f	0.0f	0	1
30	7	-700.0f	50.0f	-750.0f	0	1
31	8	30000.0f	300.0f	-3750.0f	0	1
